label,subject,body
phishing,Urgent: Verify Your Account Now,"Dear Customer, we have detected unusual activity on your account. Click here http://secure-verify-bank.tk/login to verify your identity within 24 hours or your account will be suspended permanently."
phishing,Your PayPal account has been limited,"We noticed some unusual activity in your PayPal account. To restore full access please confirm your details immediately at http://paypal-secure-update.info/confirm. Failure to act within 24 hours will result in permanent suspension."
phishing,You have won a prize,"Congratulations! You have been selected as the winner of a $1,000,000 lottery. Click http://claim-your-prize-now.xyz to claim your winnings before it expires. Act now, limited time offer!"
phishing,Action Required: Password Expiring,"Your IT department password will expire in 2 hours. Click here http://it-helpdesk-reset.com/reset to reset your password immediately and avoid losing access to your account."
phishing,Invoice Attached - Payment Overdue,"Your invoice payment is overdue. Please review the attached invoice and make payment immediately via this link http://invoice-payment-portal.biz to avoid late fees and account suspension."
phishing,Security Alert from Apple,"Dear user, your Apple ID has been locked due to suspicious sign-in activity. Verify now at http://appleid-secure-login.net or your account will be permanently disabled within 24 hours."
phishing,Update Your Billing Information,"We were unable to process your last payment. Update your billing information immediately at http://billing-update-now.info to avoid service interruption. This is urgent, act now!"
phishing,HR Department: Confirm Your Details,"This is an urgent message from HR. Please confirm your personal details and bank account information at http://hr-portal-verify.com within 24 hours to receive your bonus payment."
phishing,Your package could not be delivered,"We attempted to deliver your package but failed. Click here http://delivery-redirect-tracking.click to reschedule delivery and pay the outstanding customs fee of $2.99 immediately."
phishing,Bank Alert: Suspicious Transaction Detected,"Dear valued customer, a suspicious transaction of $499.99 was detected on your account. If this was not you, click http://bank-fraud-alert-verify.com immediately to secure your account."
phishing,Your subscription will be renewed,"Your Netflix subscription payment failed. Update your payment details now at http://netflix-billing-update.tk to avoid losing access. Click here immediately to resolve this urgent issue."
phishing,Tax Refund Notification,"You are eligible for a tax refund of $850.00. Submit your claim by clicking http://tax-refund-claim-irs.info and provide your bank details to receive your refund within 24 hours."
phishing,Your Microsoft account was accessed,"We detected an unusual sign-in attempt on your Microsoft account from an unknown device. Verify your identity now at http://microsoft-account-secure.net to prevent unauthorized access."
phishing,Final Notice: Account Suspension,"This is your final notice. Your account will be suspended within 12 hours unless you verify your information immediately at http://final-notice-verify.com. Act now to avoid suspension."
phishing,Congratulations on your gift card,"You have been randomly selected to receive a $500 Amazon gift card. Click http://free-giftcard-claim.xyz now and complete a short survey to claim your reward before it expires today."
phishing,Immediate Action Required - Wire Transfer,"Hi, I need you to process an urgent wire transfer today before the bank closes. Please confirm receipt and I will send the account details right away. This is time sensitive, reply immediately."
phishing,Your email storage is full,"Your mailbox has exceeded its storage limit. Click here http://mail-storage-upgrade.info to upgrade your storage immediately or you will stop receiving new emails within 24 hours."
phishing,Verify your identity to continue,"Unusual login activity detected from a new device. Verify your identity immediately at http://identity-verify-secure.click to prevent your account from being locked permanently."
phishing,Unclaimed Funds Notification,"Our records show you have unclaimed funds of $12,450 waiting for you. Click http://unclaimed-funds-portal.biz and provide your details to release the funds within 48 hours."
phishing,Your document has been shared,"A document has been shared with you securely. Click here http://document-share-secure.net/view to sign in and view the document immediately before the link expires in 24 hours."
legitimate,Team meeting rescheduled to Thursday,"Hi team, just a quick note that our weekly sync has been moved to Thursday at 2pm due to a scheduling conflict. Please update your calendars. Let me know if this time does not work for you."
legitimate,Lunch on Friday?,"Hey, a few of us are grabbing lunch on Friday around noon at the new place downtown. Would you like to join us? Let me know by Wednesday so I can make a reservation."
legitimate,Project status update,"Hi all, here is a quick update on the project. We completed the design phase last week and are now moving into development. The current timeline still looks on track for the end of month deadline."
legitimate,Your order has shipped,"Hello, your recent order #48213 has shipped and is on its way. You can track the delivery status through your account order history page whenever it is convenient for you."
legitimate,Reminder: Dentist appointment tomorrow,"This is a reminder that you have a dentist appointment scheduled for tomorrow at 10am. Please arrive 10 minutes early to complete any paperwork. Call the office if you need to reschedule."
